Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8
95	$100.21	$133.65	$166.46	$183.83	$235.41	$275.61	$312.04
96	$102.91	$133.92	$169.13	$186.05	$248.13	$288.30	$323.26
97	$103.18	$134.19	$169.40	$186.32	$249.41	$298.25	$332.84
98	$107.30	$134.46	$169.67	$186.59	$249.75	$299.25	$333.80
99	$109.00	$134.73	$169.98	$187.09	$256.47	$299.58	$334.53
100	$113.00	$135.00	$176.00	$197.00	$276.00	$306.00	$349.00
101	$114.13	$136.35	$177.76	$198.97	$278.76	$309.06	$352.49
102	$115.26	$137.70	$179.52	$200.94	$281.52	$312.12	$355.98
103	$116.39	$139.05	$181.28	$202.91	$284.28	$315.18	$359.47
104	$117.52	$140.40	$183.04	$204.88	$287.04	$318.24	$362.96
105	$118.65	$141.75	$184.80	$206.85	$289.80	$321.30	$366.45
106	$119.78	$143.10	$186.56	$208.82	$292.56	$324.36	$369.94
107	$120.91	$144.45	$188.32	$210.79	$295.32	$327.42	$373.43
108	$122.04	$145.80	$190.08	$212.76	$298.08	$330.48	$376.92
109	$123.17	$147.15	$191.84	$214.73	$300.84	$333.54	$380.41
110	$124.30	$148.50	$193.60	$216.70	$303.60	$336.60	$383.90
111	$125.43	$149.85	$195.36	$218.67	$306.36	$339.66	$387.39
112	$126.56	$151.20	$197.12	$220.64	$309.12	$342.72	$390.88
113	$127.69	$152.55	$198.88	$222.61	$311.88	$345.78	$394.37
114	$128.82	$153.90	$200.64	$224.58	$314.64	$348.84	$397.86
115	$129.95	$155.25	$202.40	$226.55	$317.40	$351.90	$401.35
116	$131.08	$156.60	$204.16	$228.52	$320.16	$354.96	$404.84
117	$132.21	$157.95	$205.92	$230.49	$322.92	$358.02	$408.33
118	$133.34	$159.30	$207.68	$232.46	$325.68	$361.08	$411.82
119	$134.47	$160.65	$209.44	$234.43	$328.44	$364.14	$415.31
120	$135.60	$162.00	$211.20	$236.40	$331.20	$367.20	$418.80
121	$136.73	$163.35	$212.96	$238.37	$333.96	$370.26	$422.29
122	$137.86	$164.70	$214.72	$240.34	$336.72	$373.32	$425.78
123	$138.99	$166.05	$216.48	$242.31	$339.48	$376.38	$429.27
124	$140.12	$167.40	$218.24	$244.28	$342.24	$379.44	$432.76
125	$141.25	$168.75	$220.00	$246.25	$345.00	$382.50	$436.25
126	$142.38	$170.10	$221.76	$248.22	$347.76	$385.56	$439.74
127	$143.51	$171.45	$223.52	$250.19	$350.52	$388.62	$443.23
128	$144.64	$172.80	$225.28	$252.16	$353.28	$391.68	$446.72
129	$145.77	$174.15	$227.04	$254.13	$356.04	$394.74	$450.21
130	$146.90	$175.50	$228.80	$256.10	$358.80	$397.80	$453.70
131	$148.03	$176.85	$230.56	$258.07	$361.56	$400.86	$457.19
132	$149.16	$178.20	$232.32	$260.04	$364.32	$403.92	$460.68
133	$150.29	$179.55	$234.08	$262.01	$367.08	$406.98	$464.17
134	$151.42	$180.90	$235.84	$263.98	$369.84	$410.04	$467.66
135	$152.55	$182.25	$237.60	$265.95	$372.60	$413.10	$471.15
136	$153.68	$183.60	$239.36	$267.92	$375.36	$416.16	$474.64
137	$154.81	$184.95	$241.12	$269.89	$378.12	$419.22	$478.13
138	$155.94	$186.30	$242.88	$271.86	$380.88	$422.28	$481.62
139	$157.07	$187.65	$244.64	$273.83	$383.64	$425.34	$485.11
140	$158.20	$189.00	$246.40	$275.80	$386.40	$428.40	$488.60
141	$159.33	$190.35	$248.16	$277.77	$389.16	$431.46	$492.09
142	$160.46	$191.70	$249.92	$279.74	$391.92	$434.52	$495.58
143	$161.59	$193.05	$251.68	$281.71	$394.68	$437.58	$499.07
144	$162.72	$194.40	$253.44	$283.68	$397.44	$440.64	$502.56
145	$163.85	$195.75	$255.20	$285.65	$400.20	$443.70	$506.05
146	$164.98	$197.10	$256.96	$287.62	$402.96	$446.76	$509.54
147	$166.11	$198.45	$258.72	$289.59	$405.72	$449.82	$513.03
148	$167.24	$199.80	$260.48	$291.56	$408.48	$452.88	$516.52
149	$168.37	$201.15	$262.24	$293.53	$411.24	$455.94	$520.01
150	$169.50	$202.50	$264.00	$295.50	$414.00	$459.00	$523.50
